,fips,y
454,6015,44697.71371244522
455,6051,38729.19529243085
456,6077,55363.44252931551
457,6095,53841.53800874718
458,6059,47331.174989376814
459,6089,90080.10638486456
460,6001,22010.0470375733
461,6081,19432.481969571723
462,6113,56760.121423599776
463,6041,39717.805613641554
464,6005,54759.213103079936
465,6023,34194.21391429891
466,6085,30466.280632944665
467,6067,62500.34159622618
468,6111,50317.625564126036
469,6021,35044.93558322896
470,6047,84262.56263536768
471,6083,43077.353096322375
472,6065,59712.45639478231
473,6029,72883.8909890536
474,6115,61537.00043882634
475,6007,46673.81900009618
476,6061,62359.54908749873
477,6025,55358.98678357857
478,6087,28108.29090589244
479,6069,41979.418064383135
480,6079,45047.87789929548
481,6097,36513.27963562003
482,6071,56282.733632914984
483,6035,98162.43473427171
484,6017,83902.06795085593
485,6053,38320.74575545139
486,6107,61444.8332610054
487,6031,75781.54692333037
488,6013,29067.372029124723
489,6103,93140.06315714691
490,6075,6283.899362204712
491,6039,47845.74322630774
492,6093,92033.04091694948
493,6057,29443.370081874004
494,6099,70129.89405100151
495,6101,62199.95355318161
496,6073,41291.07168334129
497,6037,43990.991507397805
498,6019,69872.9621712973
499,6055,47945.876292681
500,6109,47012.35717183425
501,6033,12751.591098239463
502,6015,44499.97361338329
503,6051,39194.03787561981
504,6077,55047.3471085851
505,6095,53825.844442670255
506,6059,47642.86097536131
507,6089,89712.82355867456
508,6001,21916.066429831026
509,6081,19350.021707516615
510,6113,56739.02002158691
511,6041,39368.59596118864
512,6005,55003.11554210433
513,6023,34117.8648863197
514,6085,30395.227595463602
515,6067,62293.74355175954
516,6111,51160.99517510265
517,6021,34990.629658825295
518,6047,84240.7720060572
519,6083,43566.50320617304
520,6065,60184.84148480433
521,6029,73089.01899988606
522,6115,60837.11108467257
523,6007,47157.8800879644
524,6061,53144.8470319881
525,6025,55707.5227776474
526,6087,28287.77575642174
527,6069,41814.37072451194
528,6079,45756.10232029912
529,6097,37122.83829235609
530,6071,57289.50922586502
531,6035,99945.48776469883
532,6017,85132.57972906023
533,6053,38900.84400035039
534,6107,62735.951511431784
